"Source:","A:\DJCSE\Encore\buck converter\buck converter.kicad_sch"
"Date:","2024-09-27T02:16:39+0530"
"Tool:","Eeschema 8.0.5"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Datasheet","Description","Description_1","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","SnapEDA_Link"
"1","1","C1","100nF","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","~","Unpolarized capacitor","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","","","","","","","","","","","","",""
"2","1","Cin1","47uF","Device:C","Capacitor_SMD:C_Elec_3x5.4","~","","","","~","Unpolarized capacitor","","Capacitor_SMD:C_Elec_3x5.4","","","","","","","","","","","","",""
"3","1","Cout1","300uF","Device:C","Capacitor_SMD:C_1812_4532Metric","~","","","","~","Unpolarized capacitor","","Capacitor_SMD:C_1812_4532Metric","","","","","","","","","","","","",""
"4","1","D1","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","100V 0.15A standard switching diode, DO-35","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","","","","","","","","","","D","1=K 2=A",""
"5","1","D2","B360","Diode:B360","Diode_SMD:D_SMC","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf","","","","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf","60V 3A Schottky Barrier Rectifier Diode, SMC","","Diode_SMD:D_SMC","","","","","","","","","","","","",""
"6","1","J1","Vin (24V)","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","","","","~","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","","","","","","","","","","","","",""
"7","1","J2","Vout(5V)","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","","","","~","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","","","","","","","","","","","","",""
"8","1","L1","100uH","Device:L","Inductor_SMD:L_Vishay_IHLP-6767","~","","","","~","Inductor","","Inductor_SMD:L_Vishay_IHLP-6767","","","","","","","","","","","","",""
"9","1","Q2","IRFZ44N","IRFZ44N:IRFZ44N","New folder:TO254P1016X419X2286-3","","","In Stock","https://www.snapeda.com/parts/IRFZ44N/Infineon+Technologies/view-part/?ref=eda","","","N-Channel 55 V 49A (Tc) 94W (Tc) Through Hole TO-220AB","New folder:TO254P1016X419X2286-3","Infineon","22.86 mm","Infineon Technologies","IRFZ44N","09/21/10","TO-220-3 Infineon","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=558410&manufacturer=Infineon Technologies&part_name=IRFZ44N&search_term=None","IRFZ44N","IPC 7351B","","","https://www.snapeda.com/parts/IRFZ44N/Infineon+Technologies/view-part/?ref=snap"
"10","1","R1","27.3k","Device:R_US","Resistor_SMD:R_0603_1608Metric","~","","","","~","Resistor, US symbol","","Resistor_SMD:R_0603_1608Metric","","","","","","","","","","","","",""
"11","1","R3","3.3k","Device:R_US","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, US symbol","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","",""
"12","1","R4","10k","Device:R_US","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","","","","~","Resistor, US symbol","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","","","","","","","","","","","","",""
"13","1","R5","2.7k","Device:R_US","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, US symbol","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","",""
"14","1","Rl1","100k","Device:R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","~","Resistor, US symbol","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","","","","","","","","",""
"15","1","U1","NE555P","Timer:NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","","","","http://www.ti.com/lit/ds/symlink/ne555.pdf","Precision Timers, 555 compatible,  PDIP-8","","Package_DIP:DIP-8_W7.62mm","","","","","","","","","","","","",""
